"gid","flsid","date","venue","doorprice","attendance","recorded_by","mastered_by","original_source","tour","city","subdivision","country","year","checked","x","y","sound_quality","seconds"
"eugene-or-usa-52690","FLS0217",1990-05-26,"W.O.W. Hall","5",550,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Spring/Summer USA Tour","Eugene","OR","USA",1990,1,-123.097074,44.0511031,"Good",5437
"eureka-ca-usa-52590","FLS0216",1990-05-25,"National Guard Armory","5",250,"ANON","Warren Russell-Smith","VHS audio","1990 Spring/Summer USA Tour","Eureka","CA","USA",1990,1,-124.143904,40.7764295,"Poor",3957
"exeter-england-102102","FLS1033",2002-10-21,"University Lemon Grove",NA,1618.75,"Nick Pellicciotto","Warren Russell-Smith","DAT","2002 Fall UK/Ireland Tour","Exeter",NA,"England",2002,1,-3.529731,50.7348571,"Very Good",5120
"exeter-england-111689","FLS0156",1989-11-16,"Exeter University","3.50 Pounds",250,"Unknown",NA,"Cassette","1989 Fall European Tour","Exeter","","England",1989,1,-3.529731,50.7348571,"Poor",3077
"fairfax-va-usa-120498","FLS0890",1998-12-04,"George Mason University Johnson Center","5",1000,"Nick Pellicciotto","Warren Russell-Smith","DAT","1998 Fall/Winter Regional Dates","Fairfax","VA","USA",1998,1,-77.307762,38.8300726,"Very Good",5533
"fargo-nd-usa-62801","FLS1004",2001-06-28,"Playmaker's Pavillion","6",975,"Joey Picuri","Warren Russell-Smith","DAT","2001 Summer Mid-West/Canada Tour","Fargo","ND","USA",2001,1,-96.821655,46.8661266,"Very Good",4783
"fargo-nd-usa-81391","FLS0380",1991-08-13,"Elks Lodge","5",550,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Summer/Fall USA/Canada Tour","Fargo","ND","USA",1991,1,-96.785816,46.9220089,"Good",3857
"fayetteville-ar-usa-60191","FLS0354",1991-06-01,"Studio 225","5",300,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Spring USA Tour","Fayetteville","AR","USA",1991,1,-94.166704,36.0657152,"Poor",4257
"fayetteville-ar-usa-61290","FLS0227",1990-06-12,"Studio 225","5",250,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Spring/Summer USA Tour","Fayetteville","AR","USA",1990,1,-94.166704,36.0657152,"Good",4262
"fitchburg-ma-usa-91793","FLS0587",1993-09-17,"Wallace Civic Center","5",3200,"Joey Picuri","Warren Russell-Smith","DAT","1993 Fall USA/Canada Tour","Fitchburg","MA","USA",1993,1,-71.784469,42.5948996,"Good",5087
"flint-mi-usa-12188","FLS0012",1988-01-21,"Fallout Shelter, Capitol Theatre","5",198.714285714286,"Tom Lumley","Fugazi","Cassette","1988 Winter Michigan Dates","Flint","MI","USA",1988,1,-83.688955,43.0154317,"Poor",3142
"flint-mi-usa-62190","FLS0234",1990-06-21,"Capitol Theater","5",400,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Spring/Summer USA Tour","Flint","MI","USA",1990,1,-83.688955,43.0154317,"Good",3475
"florence-italy-100199","FLS0938",1999-10-01,"CPA",NA,3000,"Nick Pellicciotto","Warren Russell-Smith","DAT","1999 Fall European Tour","Florence","","Italy",1999,1,11.288922,43.7637303,"Excellent",6401
"florence-italy-61495","FLS0688",1995-06-14,"CPA",NA,2000,"Joey Picuri","Warren Russell-Smith","Cassette","1995 Spring/Summer European Tour","Florence","","Italy",1995,1,11.288922,43.7637303,"Very Good",5208
"florence-sc-usa-31390","FLS0185",1990-03-13,"Forefounders Hall","$5",100,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Spring Southern USA Tour","Florence","SC","USA",1990,1,-79.654177,34.1925208,"Good",4197
