"gid","fls_link","year","tour","date","venue","city","country","played_with","attendance","sound_quality","latitude","longitude"
"atlanta-ga-usa-20993","<a href='https://www.dischord.com/fugazi_live_series/atlanta-ga-usa-20993' target='_blank'>atlanta-ga-usa-20993</a>",1993,"1993 Winter Southern USA Tour",1993-02-09,"Masquerade","Atlanta","USA","Whoremonger",1350,"Good",33.7706759,-84.364432
"atlanta-ga-usa-21093","<a href='https://www.dischord.com/fugazi_live_series/atlanta-ga-usa-21093' target='_blank'>atlanta-ga-usa-21093</a>",1993,"1993 Winter Southern USA Tour",1993-02-10,"Masquerade","Atlanta","USA","Shudder to Think",1450,"Good",33.7706759,-84.364432
"atlanta-ga-usa-21093","<a href='https://www.dischord.com/fugazi_live_series/atlanta-ga-usa-21093' target='_blank'>atlanta-ga-usa-21093</a>",1993,"1993 Winter Southern USA Tour",1993-02-10,"Masquerade","Atlanta","USA","Tweezer",1450,"Good",33.7706759,-84.364432
"atlanta-ga-usa-31590","<a href='https://www.dischord.com/fugazi_live_series/atlanta-ga-usa-31590' target='_blank'>atlanta-ga-usa-31590</a>",1990,"1990 Spring Southern USA Tour",1990-03-15,"Masquerade","Atlanta","USA","Porn Orchard",935,"Good",33.7706759,-84.364432
"atlanta-ga-usa-32896","<a href='https://www.dischord.com/fugazi_live_series/atlanta-ga-usa-32896' target='_blank'>atlanta-ga-usa-32896</a>",1996,"1996 Southern USA Tour",1996-03-28,"Masquerade","Atlanta","USA","Branch Manager",1100,"Very Good",33.7706759,-84.364432
"atlanta-ga-usa-32896","<a href='https://www.dischord.com/fugazi_live_series/atlanta-ga-usa-32896' target='_blank'>atlanta-ga-usa-32896</a>",1996,"1996 Southern USA Tour",1996-03-28,"Masquerade","Atlanta","USA","Seely",1100,"Very Good",33.7706759,-84.364432
"atlanta-ga-usa-32996","<a href='https://www.dischord.com/fugazi_live_series/atlanta-ga-usa-32996' target='_blank'>atlanta-ga-usa-32996</a>",1996,"1996 Southern USA Tour",1996-03-29,"Masquerade","Atlanta","USA","Branch Manager",1100,"Very Good",33.7706759,-84.364432
"atlanta-ga-usa-32996","<a href='https://www.dischord.com/fugazi_live_series/atlanta-ga-usa-32996' target='_blank'>atlanta-ga-usa-32996</a>",1996,"1996 Southern USA Tour",1996-03-29,"Masquerade","Atlanta","USA","Hall of Fame",1100,"Very Good",33.7706759,-84.364432
"atlanta-ga-usa-50589","<a href='https://www.dischord.com/fugazi_live_series/atlanta-ga-usa-50589' target='_blank'>atlanta-ga-usa-50589</a>",1989,"1989 Spring USA Tour",1989-05-05,"Excelsior Mill","Atlanta","USA","After Words",450,"Good",33.7706759,-84.364432
"atlanta-ga-usa-50589","<a href='https://www.dischord.com/fugazi_live_series/atlanta-ga-usa-50589' target='_blank'>atlanta-ga-usa-50589</a>",1989,"1989 Spring USA Tour",1989-05-05,"Excelsior Mill","Atlanta","USA","Butterglove",450,"Good",33.7706759,-84.364432
