"gid","fls_id","played_with"
"belfast-northern-ireland-112489","FLS0162","Fual"
"liverpool-england-112589","FLS0163","Can't Decide"
"liverpool-england-112589","FLS0163","Visions of Change"
"newcastle-england-112689","FLS0164","Crane"
"newcastle-england-112689","FLS0164","God's Ultimate Noise"
"glasgow-scotland-112789","FLS0165","Dawson"
"glasgow-scotland-112789","FLS0165","Stretch Heads"
"manchester-england-112889","FLS0166","Jailhouse Recipes"
"london-england-112989","FLS0167","Joyce McKinney Exp."
"london-england-112989","FLS0167","Senseless Things"
"hamburg-germany-120289","FLS0168","Visions of Change"
"berlin-germany-120389","FLS0169","Visions of Change"
"heidelberg-germany-120489","FLS0170","Visions of Change"
"munich-germany-120589","FLS0171","Visions of Change"
"bielefeld-germany-120689","FLS0172","Visions of Change"
"groningen-netherlands-120789","FLS0173","Visions of Change"
"eindhoven-netherlands-120889","FLS0174","All"
"eindhoven-netherlands-120889","FLS0174","Visions of Change"
"amsterdam-netherlands-120989","FLS0175","Visions of Change"
"paris-france-121189","FLS0176","Apologize"
"paris-france-121189","FLS0176","GI Love"
"paris-france-121189","FLS0176","The Swinging Scene"
"washington-dc-usa-12790","FLS0177","Fidelity Jones"
"washington-dc-usa-12790","FLS0177","Lucy Brown"
"baltimore-md-usa-21190","FLS0178","Bazooka Joe"
"baltimore-md-usa-21190","FLS0178","Jawbox"
"baltimore-md-usa-21190","FLS0178","Outcrowd"
"frederick-md-usa-21690","FLS0179","Scram"
"frederick-md-usa-21690","FLS0179","Why?"
"richmond-va-usa-22590","FLS0180","Nation of Ulysses"
"washington-dc-usa-30890","FLS0181","Geek"
"washington-dc-usa-30890","FLS0181","Sonic Youth"
"washington-dc-usa-30890","FLS0181","Unlimited Groove"
"virginia-beach-va-usa-31090","FLS0182","Funk Junkies"
"virginia-beach-va-usa-31090","FLS0182","Grog"
"harrisonburg-va-usa-31190","FLS0183","Sexual Milkshake"
"greensboro-nc-usa-31290","FLS0184","Sex Police"
"florence-sc-usa-31390","FLS0185","Allen Johnson the Soundman"
"athens-ga-usa-31490","FLS0186","Rein Sanction"
"atlanta-ga-usa-31590","FLS0187","Porn Orchard"
"gainesville-fl-usa-31690","FLS0188","Stabilizer"
"orlando-fl-usa-31790","FLS0189","Damage"
"pensacola-fl-usa-31990","FLS0190","Headless Marines"
"hattiesburg-ms-usa-32090","FLS0191","Flinghammer"
"new-orleans-la-usa-32190","FLS0192","Red Army"
"nashville-tn-usa-32390","FLS0193","Clockhammer"
"knoxville-tn-usa-32490","FLS0194","Whitey"
"chapel-hill-nc-usa-32590","FLS0195","Bricks"
"northampton-ma-usa-41490","FLS0197","Brood"
"northampton-ma-usa-41490","FLS0197","Holy Rollers"
"northampton-ma-usa-41490","FLS0197","Sex Kitchen"
"northampton-ma-usa-41490","FLS0197","Vampire Lezbos"
"boston-ma-usa-42090","FLS0198","Scram"
"boston-ma-usa-42090","FLS0198","Scudder"
"providence-ri-usa-42190","FLS0199","Firehose"
"columbia-md-usa-42790","FLS0200","Bonehead"
"columbia-md-usa-42790","FLS0200","Holy Rollers"
"memphis-tn-usa-50290","FLS0201","Hateful Day"
"little-rock-ar-usa-50390","FLS0202","Trusty"
"dallas-tx-usa-50490","FLS0203","Last Rites"
"austin-tx-usa-50590","FLS0204","Glass Eye"
"austin-tx-usa-50590","FLS0204","Spot"
"houston-tx-usa-50690","FLS0205","Refuse to Fall"
"houston-tx-usa-50690","FLS0205","Skatenigs"
"san-antonio-tx-usa-50790","FLS0206","Evil Mothers"
"san-antonio-tx-usa-50790","FLS0206","Hungry Dog"
"tucson-az-usa-51190","FLS0207","Fuel"
"tucson-az-usa-51190","FLS0207","Monsula"
"phoenix-az-usa-51290","FLS0208","Mother Helper"
"phoenix-az-usa-51290","FLS0208","Stench"
"encinitas-ca-usa-51590","FLS0209","Fishwife"
"encinitas-ca-usa-51590","FLS0209","Pitchfork"
"reseda-ca-usa-51690","FLS0210","Beat Happening"
"reseda-ca-usa-51690","FLS0210","Hunger Farm"
"reseda-ca-usa-51790","FLS0211","Beat Happening"
"reseda-ca-usa-51790","FLS0211","Reason to Believe"
"isla-vista-ca-usa-51890","FLS0212","Beat Happening"
"isla-vista-ca-usa-51890","FLS0212","Downcast"
"san-francisco-ca-usa-51990","FLS0213","Beat Happening"
"san-francisco-ca-usa-51990","FLS0213","High Risk Dancers"
"san-francisco-ca-usa-51990","FLS0213","Theater of Absurd"
"san-francisco-ca-usa-51990","FLS0213","Valerie"
"berkeley-ca-usa-52090","FLS0214","Beat Happening"
"berkeley-ca-usa-52090","FLS0214","Monsula"
"berkeley-ca-usa-52090","FLS0214","Pez"
"berkeley-ca-usa-52090","FLS0214","The Offspring"
"chico-ca-usa-52490","FLS0215","Beat Happening"
"eureka-ca-usa-52590","FLS0216","Beat Happening"
"eugene-or-usa-52690","FLS0217","Beat Happening"
"eugene-or-usa-52690","FLS0217","Calamity Jane"
"bellingham-wa-usa-53090","FLS0218","Beat Happening"
"bellingham-wa-usa-53090","FLS0218","Seaweed"
"portland-or-usa-53190","FLS0219","Beat Happening"
"seattle-wa-usa-60190","FLS0220","Beat Happening"
"olympia-wa-usa-60290","FLS0221","Beat Happening"
"olympia-wa-usa-60290","FLS0221","Mecca Normal"
"missoula-mt-usa-60490","FLS0222","The Banned"
"salt-lake-city-ut-usa-60690","FLS0223","Fifteen"
"salt-lake-city-ut-usa-60690","FLS0223","Filth"
"salt-lake-city-ut-usa-60690","FLS0223","Insight"
"salt-lake-city-ut-usa-60690","FLS0223","Stench"
"denver-co-usa-60890","FLS0224","Hobbledyhoy"
"denver-co-usa-60890","FLS0224","Keep In Mind"
"omaha-ne-usa-61090","FLS0225","C. Palmquist's Band"
"omaha-ne-usa-61090","FLS0225","Fish Hippos"
"omaha-ne-usa-61090","FLS0225","Sideshow"
"lawrence-ks-usa-61190","FLS0226","Joe Worker"
"lawrence-ks-usa-61190","FLS0226","Sin City Disciples"
"fayetteville-ar-usa-61290","FLS0227","Faith Dealers"
"st-louis-mo-usa-61390","FLS0228","Dogfight"
"st-louis-mo-usa-61390","FLS0228","Ultraman"
"chicago-il-usa-61490","FLS0229","Trenchmouth"
"waukesha-wi-usa-61590","FLS0230","Trademark"
"minneapolis-mn-usa-61690","FLS0231","Funseekers"
"minneapolis-mn-usa-61690","FLS0231","Guilt Parade"
"green-bay-wi-usa-61890","FLS0232","Jasmine Road Affair"
"green-bay-wi-usa-61890","FLS0232","Nerve Circus"
"madison-wi-usa-61990","FLS0233","Eight Bark"
"madison-wi-usa-61990","FLS0233","Fifteen"
"flint-mi-usa-62190","FLS0234","Jawbox"
"flint-mi-usa-62190","FLS0234","Mondocane"
"detroit-mi-usa-62290","FLS0235","Hay"
"detroit-mi-usa-62290","FLS0235","Jawbox"
"ann-arbor-mi-usa-62390","FLS0236","Phünhögg"
"ann-arbor-mi-usa-62390","FLS0236","Ward"
"kalamazoo-mi-usa-62490","FLS0237","Jawbox"
"kalamazoo-mi-usa-62490","FLS0237","Mannequin Hand"
"kalamazoo-mi-usa-62490","FLS0237","Slap of Reality"
"toledo-oh-usa-62590","FLS0238","Clodhopper"
"toledo-oh-usa-62590","FLS0238","Gangster Fun"
"toledo-oh-usa-62590","FLS0238","Trenchmouth"
"louisville-ky-usa-62690","FLS0239","Crain"
"dayton-oh-usa-62790","FLS0240","Dryrot"
"dayton-oh-usa-62790","FLS0240","Fifteen"
"akron-oh-usa-62890","FLS0241","Holy Rollers"
"akron-oh-usa-62890","FLS0241","Hyper as Hell"
"pittsburgh-pa-usa-62990","FLS0242","210"
"morgantown-wv-usa-63090","FLS0243","One"
"washington-dc-usa-70690","FLS0244","Crash Worship"
"washington-dc-usa-70690","FLS0244","False Face Society"
"hoorn-netherlands-90190","FLS0245","Vernon Walters"
"amsterdam-netherlands-90490","FLS0247","So Much Hate"
"amsterdam-netherlands-90490","FLS0247","Thatcher on Acid"
"eindhoven-netherlands-90590","FLS0248","Thatcher on Acid"
"enschede-netherlands-90690","FLS0249","Thatcher on Acid"
"rotterdam-netherlands-90790","FLS0250","Thatcher on Acid"
"wageningen-netherlands-90890","FLS0251","Les Rats"
"wageningen-netherlands-90890","FLS0251","Pericolo Di Morte"
"wageningen-netherlands-90890","FLS0251","Thatcher on Acid"
"bristol-england-91090","FLS0252","Can't Decide"
"bristol-england-91090","FLS0252","Inside Out"
"liverpool-england-91190","FLS0253","Drive"
"liverpool-england-91190","FLS0253","HDQ"
"leeds-england-91290","FLS0254","Nerverack"
"leeds-england-91290","FLS0254","Slum Turkeys"
